f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,y
0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0
0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0
0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0
0.01,-0.0,0.04,0.09,0.06,0.06,0.07,-0.01,-0.02,-0.03,0.03,-0.05,0.05,0.02,0.04,0.05,0.08,0.02,-0.06,0.06,1.0
0.02,-0.0,0.03,0.08,0.06,0.06,0.04,-0.01,0.0,-0.01,0.02,0.01,0.07,0.0,0.05,0.0,0.05,0.01,-0.04,0.06,1.0
0.02,-0.01,0.06,0.06,0.03,0.06,0.04,-0.01,0.01,0.0,0.02,-0.04,0.07,0.02,0.04,0.03,0.08,0.01,-0.05,0.06,1.0
0.02,0.02,0.02,0.02,0.0,0.02,-0.01,-0.0,0.0,0.01,0.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.01,0.0,-0.0,1.0
0.02,0.01,0.01,0.02,-0.0,0.02,-0.01,-0.0,0.01,0.01,0.1,0.0,-0.01,0.0,0.0,-0.0,0.0,0.01,-0.0,-0.0,1.0
0.02,0.02,0.01,0.02,0.01,0.01,-0.01,0.0,0.0,0.01,0.1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0
0.16,0.07,-0.01,0.05,0.02,-0.02,0.04,0.07,0.06,0.0,0.45,0.02,-0.03,-0.0,0.01,0.01,0.0,-0.0,-0.0,-0.01,1.0
0.15,0.07,-0.01,0.05,0.03,-0.02,0.05,0.07,0.06,0.0,0.44,0.01,-0.03,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
0.16,0.07,-0.0,0.05,0.02,-0.02,0.05,0.07,0.05,-0.0,0.44,0.01,-0.03,0.0,0.01,0.01,0.0,-0.0,0.0,-0.0,1.0
0.01,-0.02,0.01,0.04,0.0,-0.0,0.0,0.0,0.04,0.04,-0.0,0.01,-0.0,0.03,0.0,0.01,-0.01,-0.01,0.03,0.01,1.0
0.01,-0.01,0.01,0.02,-0.0,0.01,0.0,0.01,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.02,-0.01,-0.0,0.02,0.0,1.0
0.01,-0.01,0.02,0.03,0.01,-0.01,-0.0,0.01,0.03,0.04,0.0,0.04,-0.0,0.02,0.01,0.03,-0.01,-0.0,0.02,-0.0,1.0
