f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,y
0.9488865,0.014279326,0.018696189,-0.0059732306,0.022039637,0.0060262918,0.014654765,0.011255927,-0.0026889471,0.0011415943,0.017610706,0.030336106,0.11101018,0.5490176,0.20314209,0.026277283,0.02356446,0.021573504,-0.0004842188,-0.008120034,1
0.23918748,0.15339383,0.42236283,-0.0010955888,0.036004175,0.046365745,0.010273367,0.017318772,0.010558727,0.0055665174,0.071697615,0.09020033,0.09809475,0.09853639,0.088425614,0.106578425,0.12302831,0.08555757,0.11715429,0.06845814,1
0.7180516,0.28537887,0.04744361,0.008427119,-0.03312295,-0.019491414,-0.0069054803,-0.006584903,0.0017631818,0.008202663,0.078962825,0.08539942,0.048411816,0.14019701,0.20523903,0.1008966,0.106478475,0.08830847,0.0818615,0.06453358,1
0.9284247,0.024315841,0.021102468,-0.0042886883,0.019325294,0.0057138028,0.011888954,0.013389876,0.0019358875,0.0046487693,0.31825876,0.30333653,0.15149164,0.077286616,0.046117723,0.06872472,0.020024784,0.0059038685,0.0084170485,0.007823733,1
0.9326704,0.029456982,0.023158954,0.004123251,0.0024896064,0.0040113376,4.561094e-06,0.00078454224,0.001348301,0.006048127,0.05108753,0.12175138,0.19565858,0.26860556,0.22908296,0.04835706,0.03164302,0.014775311,0.012061304,0.021295154,1
0.95526457,-0.0070658936,-0.0175407,0.0035305696,0.025100587,0.009556182,0.013663117,0.00337467,0.0021429309,-0.003582993,0.042391986,0.09731984,0.34735304,0.19518673,0.12822922,0.010641367,0.050634652,0.06360384,0.06320731,-0.00084685517,1
0.9826005,0.0014574592,-0.030703431,-0.0007960273,0.01629199,0.0044869925,0.013712007,0.0044792527,-0.0015397973,0.011382416,0.04424212,0.8402756,0.016254889,0.015173984,-0.020583516,0.023408879,-0.012941547,0.021153517,0.010054405,-0.016761092,1
0.2573841,0.20797022,0.20316157,0.20471896,0.02487412,0.00042003018,0.030362826,0.013031043,0.01829116,0.009409325,0.1179804,0.11938497,0.10329838,0.07727857,0.10776087,0.0939507,0.07693827,0.057510857,0.05275135,0.15462083,1
0.97709423,0.012404521,0.0035305696,0.003971414,0.0032620686,-0.0026745547,0.00848629,0.01173511,-0.0031250613,0.0069422964,0.111498654,0.49090445,0.2962461,0.054067347,0.027681801,0.01132206,0.0050258324,-0.00016914308,0.0036490564,0.012061425,1
0.9688546,0.026492799,0.013710218,0.0094112065,0.0066591264,0.008315502,0.00802069,0.007316823,-0.0039632986,-0.0006068013,0.6122259,0.25549385,0.12683263,0.004273262,0.022020327,0.0058936873,-0.0064218314,-0.022483977,0.0068173152,-0.0033191172,1
